	InFileName	Input	OutFileName	Output
0	chunked/Input/Ger-01.wav	[-602.9363 -602.9363 -602.9363 ...    0.        0.        0.    ]	chunked/Output/Eng-01.wav	[-547.9988 -547.9988 -547.9988 ...    0.        0.        0.    ]
1	chunked/Input/Ger-02.wav	[-592.48755 -592.48755 -592.48755 ...    0.         0.         0.     ]	chunked/Output/Eng-02.wav	[-547.1274 -547.1274 -547.1274 ...    0.        0.        0.    ]
2	chunked/Input/Ger-03.wav	[-567.9968 -567.9968 -567.9968 ...    0.        0.        0.    ]	chunked/Output/Eng-03.wav	[-529.286 -529.286 -529.286 ...    0.       0.       0.   ]
3	chunked/Input/Ger-04.wav	[-531.93097 -531.93097 -531.93097 ...    0.         0.         0.     ]	chunked/Output/Eng-04.wav	[-502.68222 -502.68222 -502.68222 ...    0.         0.         0.     ]
4	chunked/Input/Ger-05.wav	[-525.99677 -525.99677 -525.99677 ...    0.         0.         0.     ]	chunked/Output/Eng-05.wav	[-515.11304 -515.11304 -515.11304 ...    0.         0.         0.     ]
5	chunked/Input/Ger-06.wav	[-569.6913 -569.6913 -569.6913 ...    0.        0.        0.    ]	chunked/Output/Eng-06.wav	[-593.32544 -593.32544 -593.32544 ...    0.         0.         0.     ]
6	chunked/Input/Ger-07.wav	[-547.652 -547.652 -547.652 ...    0.       0.       0.   ]	chunked/Output/Eng-07.wav	[-524.48895 -524.48895 -524.48895 ...    0.         0.         0.     ]
7	chunked/Input/Ger-08.wav	[-498.04272 -498.04272 -498.04272 ...    0.         0.         0.     ]	chunked/Output/Eng-08.wav	[-520.9683 -520.9683 -520.9683 ...    0.        0.        0.    ]
8	chunked/Input/Ger-09.wav	[-546.60474 -546.60474 -546.60474 ...    0.         0.         0.     ]	chunked/Output/Eng-09.wav	[-502.0151 -502.0151 -502.0151 ...    0.        0.        0.    ]
9	chunked/Input/Ger-10.wav	[-526.36224 -526.36224 -526.36224 ...    0.         0.         0.     ]	chunked/Output/Eng-10.wav	[-560.22327 -560.22327 -560.22327 ...    0.         0.         0.     ]
10	chunked/Input/Ger-100.wav	[-518.0482 -518.0482 -518.0482 ...    0.        0.        0.    ]	chunked/Output/Eng-100.wav	[-514.1415 -514.1415 -514.1415 ...    0.        0.        0.    ]
11	chunked/Input/Ger-101.wav	[-651.6684 -651.6684 -651.6684 ...    0.        0.        0.    ]	chunked/Output/Eng-101.wav	[-651.44507 -651.44507 -651.44507 ...    0.         0.         0.     ]
12	chunked/Input/Ger-102.wav	[-577.06903 -577.06903 -577.06903 ...    0.         0.         0.     ]	chunked/Output/Eng-102.wav	[-586.23724 -586.23724 -586.23724 ...    0.         0.         0.     ]
13	chunked/Input/Ger-103.wav	[-558.7093 -558.7093 -558.7093 ...    0.        0.        0.    ]	chunked/Output/Eng-103.wav	[-525.74097 -525.74097 -525.74097 ...    0.         0.         0.     ]
14	chunked/Input/Ger-104.wav	[-518.7512 -518.7512 -518.7512 ...    0.        0.        0.    ]	chunked/Output/Eng-104.wav	[-550.2831 -550.2831 -550.2831 ...    0.        0.        0.    ]
15	chunked/Input/Ger-105.wav	[-540.60675 -540.60675 -540.60675 ...    0.         0.         0.     ]	chunked/Output/Eng-105.wav	[-565.15326 -565.15326 -565.15326 ...    0.         0.         0.     ]
16	chunked/Input/Ger-106.wav	[-542.8941 -542.8941 -542.8941 ...    0.        0.        0.    ]	chunked/Output/Eng-106.wav	[-560.5974 -560.5974 -560.5974 ...    0.        0.        0.    ]
17	chunked/Input/Ger-107.wav	[-568.58655 -568.58655 -568.58655 ...    0.         0.         0.     ]	chunked/Output/Eng-107.wav	[-546.70905 -546.70905 -546.70905 ...    0.         0.         0.     ]
18	chunked/Input/Ger-108.wav	[-579.2552 -579.2552 -579.2552 ...    0.        0.        0.    ]	chunked/Output/Eng-108.wav	[-554.7577 -554.7577 -554.7577 ...    0.        0.        0.    ]
19	chunked/Input/Ger-109.wav	[-568.0281 -568.0281 -568.0281 ...    0.        0.        0.    ]	chunked/Output/Eng-109.wav	[-539.1294 -539.1294 -539.1294 ...    0.        0.        0.    ]
20	chunked/Input/Ger-11.wav	[-560.71014 -560.71014 -560.71014 ...    0.         0.         0.     ]	chunked/Output/Eng-11.wav	[-585.5138 -585.5138 -585.5138 ...    0.        0.        0.    ]
21	chunked/Input/Ger-110.wav	[-590.4652 -590.4652 -590.4652 ...    0.        0.        0.    ]	chunked/Output/Eng-110.wav	[-531.5553 -531.5553 -531.5553 ...    0.        0.        0.    ]
22	chunked/Input/Ger-111.wav	[-568.23517 -568.23517 -568.23517 ...    0.         0.         0.     ]	chunked/Output/Eng-111.wav	[-561.075 -561.075 -561.075 ...    0.       0.       0.   ]
23	chunked/Input/Ger-112.wav	[-578.158 -578.158 -578.158 ...    0.       0.       0.   ]	chunked/Output/Eng-112.wav	[-544.0966 -544.0966 -544.0966 ...    0.        0.        0.    ]
24	chunked/Input/Ger-113.wav	[-565.9413 -565.9413 -565.9413 ...    0.        0.        0.    ]	chunked/Output/Eng-113.wav	[-541.14984 -541.14984 -541.14984 ...    0.         0.         0.     ]
25	chunked/Input/Ger-114.wav	[-586.5283 -586.5283 -586.5283 ...    0.        0.        0.    ]	chunked/Output/Eng-114.wav	[-251.32304 -153.08452 -114.49427 ...    0.         0.         0.     ]
26	chunked/Input/Ger-115.wav	[-549.311 -549.311 -549.311 ...    0.       0.       0.   ]	chunked/Output/Eng-115.wav	[-509.7928 -509.7928 -509.7928 ...    0.        0.        0.    ]
27	chunked/Input/Ger-116.wav	[-571.46295 -571.46295 -571.46295 ...    0.         0.         0.     ]	chunked/Output/Eng-116.wav	[-527.5381 -527.5381 -527.5381 ...    0.        0.        0.    ]
28	chunked/Input/Ger-117.wav	[-550.5448 -550.5448 -550.5448 ...    0.        0.        0.    ]	chunked/Output/Eng-117.wav	[-509.3011 -509.3011 -509.3011 ...    0.        0.        0.    ]
29	chunked/Input/Ger-118.wav	[-577.87866 -577.87866 -577.87866 ...    0.         0.         0.     ]	chunked/Output/Eng-118.wav	[-562.5526 -562.5526 -562.5526 ...    0.        0.        0.    ]
30	chunked/Input/Ger-119.wav	[-573.17426 -573.17426 -573.17426 ...    0.         0.         0.     ]	chunked/Output/Eng-119.wav	[-504.7657 -504.7657 -504.7657 ...    0.        0.        0.    ]
31	chunked/Input/Ger-12.wav	[-555.2437 -555.2437 -555.2437 ...    0.        0.        0.    ]	chunked/Output/Eng-12.wav	[-489.12698 -489.12698 -489.12698 ...    0.         0.         0.     ]
32	chunked/Input/Ger-120.wav	[-596.2135 -596.2135 -596.2135 ...    0.        0.        0.    ]	chunked/Output/Eng-120.wav	[-485.61722 -485.61722 -485.61722 ...    0.         0.         0.     ]
33	chunked/Input/Ger-121.wav	[-528.9911 -528.9911 -528.9911 ...    0.        0.        0.    ]	chunked/Output/Eng-121.wav	[-508.73962 -508.73962 -508.73962 ...    0.         0.         0.     ]
34	chunked/Input/Ger-122.wav	[-600.73224 -600.73224 -600.73224 ...    0.         0.         0.     ]	chunked/Output/Eng-122.wav	[-534.1224 -534.1224 -534.1224 ...    0.        0.        0.    ]
35	chunked/Input/Ger-123.wav	[-575.0896 -575.0896 -575.0896 ...    0.        0.        0.    ]	chunked/Output/Eng-123.wav	[-550.8125 -550.8125 -550.8125 ...    0.        0.        0.    ]
36	chunked/Input/Ger-124.wav	[-559.0222 -559.0222 -559.0222 ...    0.        0.        0.    ]	chunked/Output/Eng-124.wav	[-547.585 -547.585 -547.585 ...    0.       0.       0.   ]
37	chunked/Input/Ger-125.wav	[-531.1728 -531.1728 -531.1728 ...    0.        0.        0.    ]	chunked/Output/Eng-125.wav	[-559.9771 -559.9771 -559.9771 ...    0.        0.        0.    ]
38	chunked/Input/Ger-126.wav	[-560.95917 -560.95917 -560.95917 ...    0.         0.         0.     ]	chunked/Output/Eng-126.wav	[-529.1453 -529.1453 -529.1453 ...    0.        0.        0.    ]
39	chunked/Input/Ger-127.wav	[-555.96216 -555.96216 -555.96216 ...    0.         0.         0.     ]	chunked/Output/Eng-127.wav	[-541.677 -541.677 -541.677 ...    0.       0.       0.   ]
40	chunked/Input/Ger-128.wav	[-548.23456 -548.23456 -548.23456 ...    0.         0.         0.     ]	chunked/Output/Eng-128.wav	[-535.55646 -535.55646 -535.55646 ...    0.         0.         0.     ]
41	chunked/Input/Ger-129.wav	[-533.532 -533.532 -533.532 ...    0.       0.       0.   ]	chunked/Output/Eng-129.wav	[-594.19354 -594.19354 -594.19354 ...    0.         0.         0.     ]
42	chunked/Input/Ger-13.wav	[-572.6901 -572.6901 -572.6901 ...    0.        0.        0.    ]	chunked/Output/Eng-13.wav	[-489.27982 -489.27982 -489.27982 ...    0.         0.         0.     ]
43	chunked/Input/Ger-130.wav	[-549.11456 -549.11456 -549.11456 ...    0.         0.         0.     ]	chunked/Output/Eng-130.wav	[-547.09235 -547.09235 -547.09235 ...    0.         0.         0.     ]
44	chunked/Input/Ger-131.wav	[-489.65125 -489.65125 -489.65125 ...    0.         0.         0.     ]	chunked/Output/Eng-131.wav	[-562.93536 -562.93536 -562.93536 ...    0.         0.         0.     ]
45	chunked/Input/Ger-132.wav	[-520.3085 -520.3085 -520.3085 ...    0.        0.        0.    ]	chunked/Output/Eng-132.wav	"[-390.81924   -223.12926   -138.2413    ...    4.921356     5.2568007
    3.828755 ]"
46	chunked/Input/Ger-133.wav	[-553.1398 -553.1398 -553.1398 ...    0.        0.        0.    ]	chunked/Output/Eng-133.wav	[-558.3046 -558.3046 -558.3046 ...    0.        0.        0.    ]
47	chunked/Input/Ger-134.wav	[-543.23773 -543.23773 -543.23773 ...    0.         0.         0.     ]	chunked/Output/Eng-134.wav	[-558.6979 -558.6979 -558.6979 ...    0.        0.        0.    ]
48	chunked/Input/Ger-135.wav	[-573.0344 -573.0344 -573.0344 ...    0.        0.        0.    ]	chunked/Output/Eng-135.wav	[-544.9204 -544.9204 -544.9204 ...    0.        0.        0.    ]
49	chunked/Input/Ger-136.wav	[-530.69147 -530.69147 -530.69147 ...    0.         0.         0.     ]	chunked/Output/Eng-136.wav	[-577.63983 -577.63983 -577.63983 ...    0.         0.         0.     ]
50	chunked/Input/Ger-137.wav	[-574.88806 -574.88806 -574.88806 ...    0.         0.         0.     ]	chunked/Output/Eng-137.wav	[-525.7894 -525.7894 -525.7894 ...    0.        0.        0.    ]
51	chunked/Input/Ger-138.wav	[-532.4136 -532.4136 -532.4136 ...    0.        0.        0.    ]	chunked/Output/Eng-138.wav	[-532.1184 -532.1184 -532.1184 ...    0.        0.        0.    ]
52	chunked/Input/Ger-139.wav	[-543.42285 -543.42285 -543.42285 ...    0.         0.         0.     ]	chunked/Output/Eng-139.wav	[-531.2014 -531.2014 -531.2014 ...    0.        0.        0.    ]
53	chunked/Input/Ger-14.wav	[-520.0699 -520.0699 -520.0699 ...    0.        0.        0.    ]	chunked/Output/Eng-14.wav	[-541.6337 -541.6337 -541.6337 ...    0.        0.        0.    ]
54	chunked/Input/Ger-140.wav	[-505.8618 -505.8618 -505.8618 ...    0.        0.        0.    ]	chunked/Output/Eng-140.wav	[-552.1818 -552.1818 -552.1818 ...    0.        0.        0.    ]
55	chunked/Input/Ger-141.wav	[-617.51984 -617.51984 -617.51984 ...    0.         0.         0.     ]	chunked/Output/Eng-141.wav	[-667.34265 -667.34265 -667.34265 ...    0.         0.         0.     ]
56	chunked/Input/Ger-142.wav	[-563.84875 -563.84875 -563.84875 ...    0.         0.         0.     ]	chunked/Output/Eng-142.wav	[-535.27997 -535.27997 -535.27997 ...    0.         0.         0.     ]
57	chunked/Input/Ger-143.wav	[-540.7395 -540.7395 -540.7395 ...    0.        0.        0.    ]	chunked/Output/Eng-143.wav	[-546.231 -546.231 -546.231 ...    0.       0.       0.   ]
58	chunked/Input/Ger-144.wav	[-521.5459 -521.5459 -521.5459 ...    0.        0.        0.    ]	chunked/Output/Eng-144.wav	[-515.2352 -515.2352 -515.2352 ...    0.        0.        0.    ]
59	chunked/Input/Ger-145.wav	[-589.95905 -589.95905 -589.95905 ...    0.         0.         0.     ]	chunked/Output/Eng-145.wav	[-534.3314 -534.3314 -534.3314 ...    0.        0.        0.    ]
60	chunked/Input/Ger-146.wav	[-587.45215 -587.45215 -587.45215 ...    0.         0.         0.     ]	chunked/Output/Eng-146.wav	[-545.4311 -545.4311 -545.4311 ...    0.        0.        0.    ]
61	chunked/Input/Ger-147.wav	[-574.39844 -574.39844 -574.39844 ...    0.         0.         0.     ]	chunked/Output/Eng-147.wav	[-508.06192 -508.06192 -508.06192 ...    0.         0.         0.     ]
62	chunked/Input/Ger-148.wav	[-586.0582 -586.0582 -586.0582 ...    0.        0.        0.    ]	chunked/Output/Eng-148.wav	[-521.4139 -521.4139 -521.4139 ...    0.        0.        0.    ]
63	chunked/Input/Ger-149.wav	[-541.1183 -541.1183 -541.1183 ...    0.        0.        0.    ]	chunked/Output/Eng-149.wav	[-536.402 -536.402 -536.402 ...    0.       0.       0.   ]
64	chunked/Input/Ger-15.wav	[-543.3838 -543.3838 -543.3838 ...    0.        0.        0.    ]	chunked/Output/Eng-15.wav	[-538.3825 -538.3825 -538.3825 ...    0.        0.        0.    ]
65	chunked/Input/Ger-150.wav	[-540.70715 -540.70715 -540.70715 ...    0.         0.         0.     ]	chunked/Output/Eng-150.wav	[-524.3153 -524.3153 -524.3153 ...    0.        0.        0.    ]
66	chunked/Input/Ger-151.wav	[-592.4521 -592.4521 -592.4521 ...    0.        0.        0.    ]	chunked/Output/Eng-151.wav	[-533.2629 -533.2629 -533.2629 ...    0.        0.        0.    ]
67	chunked/Input/Ger-152.wav	[-587.7515 -587.7515 -587.7515 ...    0.        0.        0.    ]	chunked/Output/Eng-152.wav	[-531.8949 -531.8949 -531.8949 ...    0.        0.        0.    ]
68	chunked/Input/Ger-153.wav	[-608.1316 -608.1316 -608.1316 ...    0.        0.        0.    ]	chunked/Output/Eng-153.wav	[-514.8623 -514.8623 -514.8623 ...    0.        0.        0.    ]
69	chunked/Input/Ger-154.wav	[-584.26587 -584.26587 -584.26587 ...    0.         0.         0.     ]	chunked/Output/Eng-154.wav	[-537.3404 -537.3404 -537.3404 ...    0.        0.        0.    ]
70	chunked/Input/Ger-155.wav	[-546.95044 -546.95044 -546.95044 ...    0.         0.         0.     ]	chunked/Output/Eng-155.wav	[-539.2323 -539.2323 -539.2323 ...    0.        0.        0.    ]
71	chunked/Input/Ger-156.wav	[-538.8879 -538.8879 -538.8879 ...    0.        0.        0.    ]	chunked/Output/Eng-156.wav	[-503.36206 -503.36206 -503.36206 ...    0.         0.         0.     ]
72	chunked/Input/Ger-157.wav	[-549.4959 -549.4959 -549.4959 ...    0.        0.        0.    ]	chunked/Output/Eng-157.wav	[-544.39453 -544.39453 -544.39453 ...    0.         0.         0.     ]
73	chunked/Input/Ger-158.wav	[-474.1748  -213.28755 -100.05408 ...    0.         0.         0.     ]	chunked/Output/Eng-158.wav	[-564.6872 -564.6872 -564.6872 ...    0.        0.        0.    ]
74	chunked/Input/Ger-159.wav	"[-518.9229    -515.1442    -513.0259    ...    6.6883163    6.2734375
    6.511631 ]"	chunked/Output/Eng-159.wav	[-558.9206 -558.9206 -558.9206 ...    0.        0.        0.    ]
75	chunked/Input/Ger-16.wav	[-532.54913 -532.54913 -532.54913 ...    0.         0.         0.     ]	chunked/Output/Eng-16.wav	[-526.5852 -526.5852 -526.5852 ...    0.        0.        0.    ]
76	chunked/Input/Ger-160.wav	"[-4.5646884e+02 -1.8916081e+02 -8.6981934e+01 ...  2.6829920e+00
  5.6307602e+00 -3.2484889e-02]"	chunked/Output/Eng-160.wav	[-533.0796 -533.0796 -533.0796 ...    0.        0.        0.    ]
77	chunked/Input/Ger-161.wav	[-483.14398 -483.14398 -483.14398 ...    0.         0.         0.     ]	chunked/Output/Eng-161.wav	[-478.66397 -478.66397 -478.66397 ...    0.         0.         0.     ]
78	chunked/Input/Ger-162.wav	[-558.3626 -558.3626 -558.3626 ...    0.        0.        0.    ]	chunked/Output/Eng-162.wav	[-509.05743 -509.05743 -509.05743 ...    0.         0.         0.     ]
79	chunked/Input/Ger-163.wav	[-499.9414 -499.9414 -499.9414 ...    0.        0.        0.    ]	chunked/Output/Eng-163.wav	[-538.72095 -538.72095 -538.72095 ...    0.         0.         0.     ]
80	chunked/Input/Ger-164.wav	[-506.09738 -506.09738 -506.09738 ...    0.         0.         0.     ]	chunked/Output/Eng-164.wav	[-533.57684 -533.57684 -533.57684 ...    0.         0.         0.     ]
81	chunked/Input/Ger-165.wav	[-512.50134 -512.50134 -512.50134 ...    0.         0.         0.     ]	chunked/Output/Eng-165.wav	[-549.4606 -549.4606 -549.4606 ...    0.        0.        0.    ]
82	chunked/Input/Ger-166.wav	[-524.9802 -524.9802 -524.9802 ...    0.        0.        0.    ]	chunked/Output/Eng-166.wav	[-582.0799 -582.0799 -582.0799 ...    0.        0.        0.    ]
83	chunked/Input/Ger-167.wav	[-595.16156 -595.16156 -595.16156 ...    0.         0.         0.     ]	chunked/Output/Eng-167.wav	[-620.3486 -620.3486 -620.3486 ...    0.        0.        0.    ]
84	chunked/Input/Ger-168.wav	[-552.9473 -552.9473 -552.9473 ...    0.        0.        0.    ]	chunked/Output/Eng-168.wav	[-633.0164 -633.0164 -633.0164 ...    0.        0.        0.    ]
85	chunked/Input/Ger-169.wav	[-523.3471 -523.3471 -523.3471 ...    0.        0.        0.    ]	chunked/Output/Eng-169.wav	[-513.30426 -513.30426 -513.30426 ...    0.         0.         0.     ]
86	chunked/Input/Ger-17.wav	[-563.24774 -563.24774 -563.24774 ...    0.         0.         0.     ]	chunked/Output/Eng-17.wav	[-568.84125 -568.84125 -568.84125 ...    0.         0.         0.     ]
87	chunked/Input/Ger-170.wav	[-544.6874 -544.6874 -544.6874 ...    0.        0.        0.    ]	chunked/Output/Eng-170.wav	[-526.7189 -526.7189 -526.7189 ...    0.        0.        0.    ]
88	chunked/Input/Ger-171.wav	[-526.2269 -526.2269 -526.2269 ...    0.        0.        0.    ]	chunked/Output/Eng-171.wav	[-510.1353 -510.1353 -510.1353 ...    0.        0.        0.    ]
89	chunked/Input/Ger-172.wav	[-498.22693 -498.22693 -498.22693 ...    0.         0.         0.     ]	chunked/Output/Eng-172.wav	[-543.2976 -543.2976 -543.2976 ...    0.        0.        0.    ]
90	chunked/Input/Ger-173.wav	[-489.2055 -489.2055 -489.2055 ...    0.        0.        0.    ]	chunked/Output/Eng-173.wav	[-508.14673 -508.14673 -508.14673 ...    0.         0.         0.     ]
91	chunked/Input/Ger-174.wav	[-493.83182 -493.83182 -493.83182 ...    0.         0.         0.     ]	chunked/Output/Eng-174.wav	[-506.40753 -506.40753 -506.40753 ...    0.         0.         0.     ]
92	chunked/Input/Ger-175.wav	[-520.1252 -520.1252 -520.1252 ...    0.        0.        0.    ]	chunked/Output/Eng-175.wav	[-519.4917 -519.4917 -519.4917 ...    0.        0.        0.    ]
93	chunked/Input/Ger-176.wav	[-556.327 -556.327 -556.327 ...    0.       0.       0.   ]	chunked/Output/Eng-176.wav	[-569.1126 -569.1126 -569.1126 ...    0.        0.        0.    ]
94	chunked/Input/Ger-177.wav	[-537.0068 -537.0068 -537.0068 ...    0.        0.        0.    ]	chunked/Output/Eng-177.wav	[-534.4469 -534.4469 -534.4469 ...    0.        0.        0.    ]
95	chunked/Input/Ger-178.wav	[-506.0512 -506.0512 -506.0512 ...    0.        0.        0.    ]	chunked/Output/Eng-178.wav	[-539.3363 -539.3363 -539.3363 ...    0.        0.        0.    ]
96	chunked/Input/Ger-179.wav	[-524.00366 -524.00366 -524.00366 ...    0.         0.         0.     ]	chunked/Output/Eng-179.wav	[-517.3204 -517.3204 -517.3204 ...    0.        0.        0.    ]
97	chunked/Input/Ger-18.wav	[-537.1238 -537.1238 -537.1238 ...    0.        0.        0.    ]	chunked/Output/Eng-18.wav	[-559.02295 -559.02295 -559.02295 ...    0.         0.         0.     ]
98	chunked/Input/Ger-180.wav	[-502.4087 -502.4087 -502.4087 ...    0.        0.        0.    ]	chunked/Output/Eng-180.wav	[-550.5511 -550.5511 -550.5511 ...    0.        0.        0.    ]
