Input,Output
chunked/Input/Ger-01.wav,chunked/Output/Eng-01.wav
chunked/Input/Ger-02.wav,chunked/Output/Eng-02.wav
chunked/Input/Ger-03.wav,chunked/Output/Eng-03.wav
chunked/Input/Ger-04.wav,chunked/Output/Eng-04.wav
chunked/Input/Ger-05.wav,chunked/Output/Eng-05.wav
chunked/Input/Ger-06.wav,chunked/Output/Eng-06.wav
chunked/Input/Ger-07.wav,chunked/Output/Eng-07.wav
chunked/Input/Ger-08.wav,chunked/Output/Eng-08.wav
chunked/Input/Ger-09.wav,chunked/Output/Eng-09.wav
chunked/Input/Ger-10.wav,chunked/Output/Eng-10.wav
chunked/Input/Ger-100.wav,chunked/Output/Eng-100.wav
chunked/Input/Ger-101.wav,chunked/Output/Eng-101.wav
chunked/Input/Ger-102.wav,chunked/Output/Eng-102.wav
chunked/Input/Ger-103.wav,chunked/Output/Eng-103.wav
chunked/Input/Ger-104.wav,chunked/Output/Eng-104.wav
chunked/Input/Ger-105.wav,chunked/Output/Eng-105.wav
chunked/Input/Ger-106.wav,chunked/Output/Eng-106.wav
chunked/Input/Ger-107.wav,chunked/Output/Eng-107.wav
chunked/Input/Ger-108.wav,chunked/Output/Eng-108.wav
chunked/Input/Ger-109.wav,chunked/Output/Eng-109.wav
chunked/Input/Ger-11.wav,chunked/Output/Eng-11.wav
chunked/Input/Ger-110.wav,chunked/Output/Eng-110.wav
chunked/Input/Ger-111.wav,chunked/Output/Eng-111.wav
chunked/Input/Ger-112.wav,chunked/Output/Eng-112.wav
chunked/Input/Ger-113.wav,chunked/Output/Eng-113.wav
chunked/Input/Ger-114.wav,chunked/Output/Eng-114.wav
chunked/Input/Ger-115.wav,chunked/Output/Eng-115.wav
chunked/Input/Ger-116.wav,chunked/Output/Eng-116.wav
chunked/Input/Ger-117.wav,chunked/Output/Eng-117.wav
chunked/Input/Ger-118.wav,chunked/Output/Eng-118.wav
chunked/Input/Ger-119.wav,chunked/Output/Eng-119.wav
chunked/Input/Ger-12.wav,chunked/Output/Eng-12.wav
chunked/Input/Ger-120.wav,chunked/Output/Eng-120.wav
chunked/Input/Ger-121.wav,chunked/Output/Eng-121.wav
chunked/Input/Ger-122.wav,chunked/Output/Eng-122.wav
chunked/Input/Ger-123.wav,chunked/Output/Eng-123.wav
chunked/Input/Ger-124.wav,chunked/Output/Eng-124.wav
chunked/Input/Ger-125.wav,chunked/Output/Eng-125.wav
chunked/Input/Ger-126.wav,chunked/Output/Eng-126.wav
chunked/Input/Ger-127.wav,chunked/Output/Eng-127.wav
chunked/Input/Ger-128.wav,chunked/Output/Eng-128.wav
chunked/Input/Ger-129.wav,chunked/Output/Eng-129.wav
chunked/Input/Ger-13.wav,chunked/Output/Eng-13.wav
chunked/Input/Ger-130.wav,chunked/Output/Eng-130.wav
chunked/Input/Ger-131.wav,chunked/Output/Eng-131.wav
chunked/Input/Ger-132.wav,chunked/Output/Eng-132.wav
chunked/Input/Ger-133.wav,chunked/Output/Eng-133.wav
chunked/Input/Ger-134.wav,chunked/Output/Eng-134.wav
chunked/Input/Ger-135.wav,chunked/Output/Eng-135.wav
chunked/Input/Ger-136.wav,chunked/Output/Eng-136.wav
chunked/Input/Ger-137.wav,chunked/Output/Eng-137.wav
chunked/Input/Ger-138.wav,chunked/Output/Eng-138.wav
chunked/Input/Ger-139.wav,chunked/Output/Eng-139.wav
chunked/Input/Ger-14.wav,chunked/Output/Eng-14.wav
chunked/Input/Ger-140.wav,chunked/Output/Eng-140.wav
chunked/Input/Ger-141.wav,chunked/Output/Eng-141.wav
chunked/Input/Ger-142.wav,chunked/Output/Eng-142.wav
chunked/Input/Ger-143.wav,chunked/Output/Eng-143.wav
chunked/Input/Ger-144.wav,chunked/Output/Eng-144.wav
chunked/Input/Ger-145.wav,chunked/Output/Eng-145.wav
chunked/Input/Ger-146.wav,chunked/Output/Eng-146.wav
chunked/Input/Ger-147.wav,chunked/Output/Eng-147.wav
chunked/Input/Ger-148.wav,chunked/Output/Eng-148.wav
chunked/Input/Ger-149.wav,chunked/Output/Eng-149.wav
chunked/Input/Ger-15.wav,chunked/Output/Eng-15.wav
chunked/Input/Ger-150.wav,chunked/Output/Eng-150.wav
chunked/Input/Ger-151.wav,chunked/Output/Eng-151.wav
chunked/Input/Ger-152.wav,chunked/Output/Eng-152.wav
chunked/Input/Ger-153.wav,chunked/Output/Eng-153.wav
chunked/Input/Ger-154.wav,chunked/Output/Eng-154.wav
chunked/Input/Ger-155.wav,chunked/Output/Eng-155.wav
chunked/Input/Ger-156.wav,chunked/Output/Eng-156.wav
chunked/Input/Ger-157.wav,chunked/Output/Eng-157.wav
chunked/Input/Ger-158.wav,chunked/Output/Eng-158.wav
chunked/Input/Ger-159.wav,chunked/Output/Eng-159.wav
chunked/Input/Ger-16.wav,chunked/Output/Eng-16.wav
chunked/Input/Ger-160.wav,chunked/Output/Eng-160.wav
chunked/Input/Ger-161.wav,chunked/Output/Eng-161.wav
chunked/Input/Ger-162.wav,chunked/Output/Eng-162.wav
chunked/Input/Ger-163.wav,chunked/Output/Eng-163.wav
chunked/Input/Ger-164.wav,chunked/Output/Eng-164.wav
chunked/Input/Ger-165.wav,chunked/Output/Eng-165.wav
chunked/Input/Ger-166.wav,chunked/Output/Eng-166.wav
chunked/Input/Ger-167.wav,chunked/Output/Eng-167.wav
chunked/Input/Ger-168.wav,chunked/Output/Eng-168.wav
chunked/Input/Ger-169.wav,chunked/Output/Eng-169.wav
chunked/Input/Ger-17.wav,chunked/Output/Eng-17.wav
chunked/Input/Ger-170.wav,chunked/Output/Eng-170.wav
chunked/Input/Ger-171.wav,chunked/Output/Eng-171.wav
chunked/Input/Ger-172.wav,chunked/Output/Eng-172.wav
chunked/Input/Ger-173.wav,chunked/Output/Eng-173.wav
chunked/Input/Ger-174.wav,chunked/Output/Eng-174.wav
chunked/Input/Ger-175.wav,chunked/Output/Eng-175.wav
chunked/Input/Ger-176.wav,chunked/Output/Eng-176.wav
chunked/Input/Ger-177.wav,chunked/Output/Eng-177.wav
chunked/Input/Ger-178.wav,chunked/Output/Eng-178.wav
chunked/Input/Ger-179.wav,chunked/Output/Eng-179.wav
chunked/Input/Ger-18.wav,chunked/Output/Eng-18.wav
chunked/Input/Ger-180.wav,chunked/Output/Eng-180.wav
chunked/Input/Ger-181.wav,chunked/Output/Eng-181.wav
chunked/Input/Ger-182.wav,chunked/Output/Eng-182.wav
chunked/Input/Ger-183.wav,chunked/Output/Eng-183.wav
chunked/Input/Ger-184.wav,chunked/Output/Eng-184.wav
chunked/Input/Ger-185.wav,chunked/Output/Eng-185.wav
chunked/Input/Ger-186.wav,chunked/Output/Eng-186.wav
chunked/Input/Ger-187.wav,chunked/Output/Eng-187.wav
chunked/Input/Ger-188.wav,chunked/Output/Eng-188.wav
chunked/Input/Ger-189.wav,chunked/Output/Eng-189.wav
chunked/Input/Ger-19.wav,chunked/Output/Eng-19.wav
chunked/Input/Ger-190.wav,chunked/Output/Eng-190.wav
chunked/Input/Ger-191.wav,chunked/Output/Eng-191.wav
chunked/Input/Ger-192.wav,chunked/Output/Eng-192.wav
chunked/Input/Ger-193.wav,chunked/Output/Eng-193.wav
chunked/Input/Ger-194.wav,chunked/Output/Eng-194.wav
chunked/Input/Ger-195.wav,chunked/Output/Eng-195.wav
chunked/Input/Ger-196.wav,chunked/Output/Eng-196.wav
chunked/Input/Ger-197.wav,chunked/Output/Eng-197.wav
chunked/Input/Ger-198.wav,chunked/Output/Eng-198.wav
chunked/Input/Ger-20.wav,chunked/Output/Eng-20.wav
chunked/Input/Ger-21.wav,chunked/Output/Eng-21.wav
chunked/Input/Ger-22.wav,chunked/Output/Eng-22.wav
chunked/Input/Ger-23.wav,chunked/Output/Eng-23.wav
chunked/Input/Ger-24.wav,chunked/Output/Eng-24.wav
chunked/Input/Ger-25.wav,chunked/Output/Eng-25.wav
chunked/Input/Ger-26.wav,chunked/Output/Eng-26.wav
chunked/Input/Ger-27.wav,chunked/Output/Eng-27.wav
chunked/Input/Ger-28.wav,chunked/Output/Eng-28.wav
chunked/Input/Ger-29.wav,chunked/Output/Eng-29.wav
chunked/Input/Ger-30.wav,chunked/Output/Eng-30.wav
chunked/Input/Ger-31.wav,chunked/Output/Eng-31.wav
chunked/Input/Ger-32.wav,chunked/Output/Eng-32.wav
chunked/Input/Ger-33.wav,chunked/Output/Eng-33.wav
chunked/Input/Ger-34.wav,chunked/Output/Eng-34.wav
chunked/Input/Ger-35.wav,chunked/Output/Eng-35.wav
chunked/Input/Ger-36.wav,chunked/Output/Eng-36.wav
chunked/Input/Ger-37.wav,chunked/Output/Eng-37.wav
chunked/Input/Ger-38.wav,chunked/Output/Eng-38.wav
chunked/Input/Ger-39.wav,chunked/Output/Eng-39.wav
chunked/Input/Ger-40.wav,chunked/Output/Eng-40.wav
chunked/Input/Ger-41.wav,chunked/Output/Eng-41.wav
chunked/Input/Ger-42.wav,chunked/Output/Eng-42.wav
chunked/Input/Ger-43.wav,chunked/Output/Eng-43.wav
chunked/Input/Ger-44.wav,chunked/Output/Eng-44.wav
chunked/Input/Ger-45.wav,chunked/Output/Eng-45.wav
chunked/Input/Ger-46.wav,chunked/Output/Eng-46.wav
chunked/Input/Ger-47.wav,chunked/Output/Eng-47.wav
chunked/Input/Ger-48.wav,chunked/Output/Eng-48.wav
chunked/Input/Ger-49.wav,chunked/Output/Eng-49.wav
chunked/Input/Ger-50.wav,chunked/Output/Eng-50.wav
chunked/Input/Ger-51.wav,chunked/Output/Eng-51.wav
chunked/Input/Ger-52.wav,chunked/Output/Eng-52.wav
chunked/Input/Ger-53.wav,chunked/Output/Eng-53.wav
chunked/Input/Ger-54.wav,chunked/Output/Eng-54.wav
chunked/Input/Ger-55.wav,chunked/Output/Eng-55.wav
chunked/Input/Ger-56.wav,chunked/Output/Eng-56.wav
chunked/Input/Ger-57.wav,chunked/Output/Eng-57.wav
chunked/Input/Ger-58.wav,chunked/Output/Eng-58.wav
chunked/Input/Ger-59.wav,chunked/Output/Eng-59.wav
chunked/Input/Ger-60.wav,chunked/Output/Eng-60.wav
chunked/Input/Ger-61.wav,chunked/Output/Eng-61.wav
chunked/Input/Ger-62.wav,chunked/Output/Eng-62.wav
chunked/Input/Ger-63.wav,chunked/Output/Eng-63.wav
chunked/Input/Ger-64.wav,chunked/Output/Eng-64.wav
chunked/Input/Ger-65.wav,chunked/Output/Eng-65.wav
chunked/Input/Ger-66.wav,chunked/Output/Eng-66.wav
chunked/Input/Ger-67.wav,chunked/Output/Eng-67.wav
chunked/Input/Ger-68.wav,chunked/Output/Eng-68.wav
chunked/Input/Ger-69.wav,chunked/Output/Eng-69.wav
chunked/Input/Ger-70.wav,chunked/Output/Eng-70.wav
chunked/Input/Ger-71.wav,chunked/Output/Eng-71.wav
chunked/Input/Ger-72.wav,chunked/Output/Eng-72.wav
chunked/Input/Ger-73.wav,chunked/Output/Eng-73.wav
chunked/Input/Ger-74.wav,chunked/Output/Eng-74.wav
chunked/Input/Ger-75.wav,chunked/Output/Eng-75.wav
chunked/Input/Ger-76.wav,chunked/Output/Eng-76.wav
chunked/Input/Ger-77.wav,chunked/Output/Eng-77.wav
chunked/Input/Ger-78.wav,chunked/Output/Eng-78.wav
chunked/Input/Ger-79.wav,chunked/Output/Eng-79.wav
chunked/Input/Ger-80.wav,chunked/Output/Eng-80.wav
chunked/Input/Ger-81.wav,chunked/Output/Eng-81.wav
chunked/Input/Ger-82.wav,chunked/Output/Eng-82.wav
chunked/Input/Ger-83.wav,chunked/Output/Eng-83.wav
chunked/Input/Ger-84.wav,chunked/Output/Eng-84.wav
chunked/Input/Ger-85.wav,chunked/Output/Eng-85.wav
chunked/Input/Ger-86.wav,chunked/Output/Eng-86.wav
chunked/Input/Ger-87.wav,chunked/Output/Eng-87.wav
chunked/Input/Ger-88.wav,chunked/Output/Eng-88.wav
chunked/Input/Ger-89.wav,chunked/Output/Eng-89.wav
chunked/Input/Ger-90.wav,chunked/Output/Eng-90.wav
chunked/Input/Ger-91.wav,chunked/Output/Eng-91.wav
chunked/Input/Ger-92.wav,chunked/Output/Eng-92.wav
chunked/Input/Ger-93.wav,chunked/Output/Eng-93.wav
chunked/Input/Ger-94.wav,chunked/Output/Eng-94.wav
chunked/Input/Ger-95.wav,chunked/Output/Eng-95.wav
chunked/Input/Ger-96.wav,chunked/Output/Eng-96.wav
chunked/Input/Ger-97.wav,chunked/Output/Eng-97.wav
chunked/Input/Ger-98.wav,chunked/Output/Eng-98.wav
chunked/Input/Ger-99.wav,chunked/Output/Eng-99.wav